transactionId,accountId,merchantId,amount,timestamp,channel,isFraud
TXN-000001,ACC-522,MER-482,2479.44,2025-12-02T13:20:30Z,POS,false
TXN-000002,ACC-097,MER-454,1712.82,2025-05-22T20:56:54Z,ATM,false
TXN-000003,ACC-798,MER-112,3814.5,2026-01-25T17:51:03Z,POS,false
TXN-000004,ACC-328,MER-544,2359.91,2026-04-19T10:24:03Z,ATM,false
TXN-000005,ACC-585,MER-159,1619.5,2025-11-04T18:26:55Z,ATM,false
TXN-000006,ACC-162,MER-161,1629.08,2026-01-03T23:48:35Z,UPI,false
TXN-000007,ACC-427,MER-276,1144.39,2025-08-24T19:51:07Z,POS,false
TXN-000008,ACC-149,MER-314,1669.28,2025-09-02T22:29:15Z,Branch,false
TXN-000009,ACC-316,MER-436,2816.87,2025-01-05T09:44:36Z,Branch,false
TXN-000010,ACC-057,MER-419,1768.71,2025-12-21T21:02:29Z,POS,false
TXN-000011,ACC-020,MER-208,1043.84,2025-08-17T23:24:44Z,POS,false
TXN-000012,ACC-025,MER-330,2138.06,2026-03-10T11:08:40Z,UPI,false
TXN-000013,ACC-757,MER-205,3987.58,2025-12-08T20:07:02Z,POS,false
TXN-000014,ACC-110,MER-077,1216.45,2026-01-08T13:56:00Z,UPI,false
TXN-000015,ACC-482,MER-048,3906.36,2026-01-14T07:06:31Z,ATM,false
TXN-000016,ACC-287,MER-385,297.52,2025-09-24T04:14:26Z,POS,false
TXN-000017,ACC-551,MER-379,2191.18,2026-01-02T11:45:04Z,ATM,false
TXN-000018,ACC-768,MER-076,1623.4,2025-11-18T09:22:09Z,ATM,false
TXN-000019,ACC-155,MER-307,2870.87,2025-12-07T09:46:51Z,ATM,false
TXN-000020,ACC-336,MER-587,2733.38,2026-03-09T09:09:48Z,UPI,false
TXN-000021,ACC-299,MER-023,703.2,2025-09-01T20:39:41Z,POS,false
TXN-000022,ACC-792,MER-457,3736.62,2025-09-07T12:51:12Z,Branch,false
TXN-000023,ACC-234,MER-472,1811.66,2025-07-21T04:35:28Z,POS,false
TXN-000024,ACC-619,MER-024,702.21,2025-11-28T22:01:33Z,Branch,false
TXN-000025,ACC-499,MER-050,4158.54,2026-02-02T21:14:58Z,POS,false
TXN-000026,ACC-017,MER-580,2186.6,2026-01-27T15:11:04Z,POS,false
TXN-000027,ACC-552,MER-504,1413.95,2025-02-22T03:00:40Z,Mobile App,false
TXN-000028,ACC-579,MER-095,4871.16,2026-02-18T00:46:13Z,ATM,false
TXN-000029,ACC-526,MER-090,2870.05,2026-05-21T00:07:18Z,ATM,false
TXN-000030,ACC-770,MER-075,3835.81,2025-08-04T01:08:09Z,Branch,false
TXN-000031,ACC-463,MER-156,3252.57,2026-05-19T04:36:37Z,UPI,false
TXN-000032,ACC-348,MER-465,2639.04,2025-12-02T20:28:02Z,Mobile App,false
TXN-000033,ACC-412,MER-589,1469.78,2025-10-30T21:08:53Z,Mobile App,false
TXN-000034,ACC-009,MER-231,1612.6,2025-06-23T02:58:13Z,UPI,false
TXN-000035,ACC-691,MER-335,2662.29,2025-06-05T14:27:02Z,UPI,false
TXN-000036,ACC-364,MER-591,763.87,2025-06-10T02:48:21Z,POS,false
TXN-000037,ACC-186,MER-104,132.1,2025-01-31T15:26:58Z,ATM,false
TXN-000038,ACC-554,MER-357,4773.35,2025-09-02T22:17:37Z,ATM,false
